,General_condition,Name,Condition,Perturb_type,Perturb_size,Experiment,Exp_name
0,0,SCneg,0,0,-50,0,Experiment_SC
1,1,SCneg2,1,0,-20,0,Experiment_SC
2,2,SCiso,2,0,0,0,Experiment_SC
3,3,SCpos2,3,0,20,0,Experiment_SC
4,4,SCpos,4,0,50,0,Experiment_SC
5,5,PSneg,0,1,-50,1,Experiment_PS
6,6,PSneg2,1,1,-20,1,Experiment_PS
7,7,PSiso,2,1,0,1,Experiment_PS
8,8,PSpos2,3,1,20,1,Experiment_PS
9,9,PSpos,4,1,50,1,Experiment_PS
10,10,SCneg,0,0,-50,2,Experiment_PS_SC
11,11,SCiso,1,0,0,2,Experiment_PS_SC
12,12,SCpos,2,0,50,2,Experiment_PS_SC
13,13,PSneg,3,1,-50,2,Experiment_PS_SC
14,14,PSiso,4,1,0,2,Experiment_PS_SC
15,15,PSpos,5,1,50,2,Experiment_PS_SC
16,16,SCneg2,0,0,-20,3,Experiment2_PS_SC
17,17,SCiso,1,0,0,3,Experiment2_PS_SC
18,18,SCpos2,2,0,20,3,Experiment2_PS_SC
19,19,PSneg2,3,1,-20,3,Experiment2_PS_SC
20,20,PSiso,4,1,0,3,Experiment2_PS_SC
21,21,PSpos2,5,1,20,3,Experiment2_PS_SC
